pt_mult,sl_mult,max_holding,n_events,accuracy,f1_macro,label_dist,cumulative_return,sharpe,profit_factor,win_rate,n_trades,score
2.0,1.0,10,104,0.619,0.475,"{'no_trade': 70, 'long': 24, 'short': 10}",0.011248,0.1054,1.3048,0.3333,6,0.011248
2.0,1.0,15,104,0.4762,0.3873,"{'no_trade': 66, 'long': 28, 'short': 10}",-0.039108,-0.2902,0.4942,0.125,8,-0.039108
2.0,1.0,20,104,0.5238,0.4167,"{'no_trade': 65, 'long': 28, 'short': 11}",-0.019091,-0.161,0.6668,0.1429,7,-0.019091
2.0,1.5,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.038205,0.0,inf,1.0,1,0.038205
2.0,1.5,10,104,0.4286,0.2418,"{'no_trade': 66, 'long': 26, 'short': 12}",0.033128,0.2494,1.8186,0.5714,7,0.033128
2.0,1.5,15,104,0.4762,0.2928,"{'no_trade': 60, 'long': 32, 'short': 12}",0.00819,0.0608,1.1474,0.4286,7,0.00819
2.0,1.5,20,104,0.5238,0.3573,"{'no_trade': 57, 'long': 34, 'short': 13}",0.059626,0.2305,1.6478,0.5455,11,0.059626
2.0,2.0,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.038205,0.0,inf,1.0,1,0.038205
2.0,2.0,10,104,0.4286,0.2418,"{'no_trade': 64, 'long': 27, 'short': 13}",0.019641,0.1338,1.364,0.5714,7,0.019641
2.0,2.0,15,104,0.4762,0.3117,"{'no_trade': 57, 'long': 33, 'short': 14}",-0.016393,-0.0739,0.8497,0.4444,9,-0.016393
2.0,2.0,20,104,0.5238,0.3571,"{'no_trade': 52, 'long': 36, 'short': 16}",0.012341,0.0328,1.0733,0.5385,13,0.012341
2.0,2.5,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.038205,0.0,inf,1.0,1,0.038205
2.0,2.5,10,104,0.5238,0.3168,"{'no_trade': 62, 'long': 29, 'short': 13}",0.046764,0.3574,2.2855,0.7143,7,0.046764
2.0,2.5,15,104,0.619,0.4183,"{'no_trade': 54, 'long': 35, 'short': 15}",0.025842,0.0932,1.2381,0.6,10,0.025842
2.0,2.5,20,104,0.5714,0.3905,"{'no_trade': 48, 'long': 38, 'short': 18}",0.005329,0.0158,1.0347,0.5833,12,0.005329
2.0,3.0,5,104,0.8095,0.4296,"{'no_trade': 82, 'long': 13, 'short': 9}",0.038205,0.0,inf,1.0,1,0.038205
2.0,3.0,10,104,0.5238,0.3168,"{'no_trade': 62, 'long': 29, 'short': 13}",0.039488,0.2807,1.9045,0.7143,7,0.039488
2.0,3.0,15,104,0.619,0.4183,"{'no_trade': 54, 'long': 35, 'short': 15}",0.007152,0.0232,1.0562,0.6,10,0.007152
2.0,3.0,20,104,0.619,0.4222,"{'no_trade': 47, 'long': 39, 'short': 18}",0.111206,0.3818,2.27,0.6667,12,0.111206
2.5,1.0,5,104,0.9524,0.4878,"{'no_trade': 96, 'short': 4, 'long': 4}",0.0,0.0,0.0,0.0,0,0.0
2.5,1.0,10,104,0.6667,0.4,"{'no_trade': 80, 'long': 19, 'short': 5}",-0.015325,-0.2131,0.6203,0.4,5,-0.015325
2.5,1.0,15,104,0.6667,0.4,"{'no_trade': 74, 'long': 23, 'short': 7}",-0.024474,-6.3912,0.0,0.0,3,-0.024474
2.5,1.0,20,104,0.619,0.3824,"{'no_trade': 71, 'long': 25, 'short': 8}",-0.038842,-3.34,0.0,0.0,4,-0.038842
2.5,1.5,5,104,0.8571,0.3077,"{'no_trade': 93, 'short': 6, 'long': 5}",0.0,0.0,0.0,0.0,0,0.0
2.5,1.5,10,104,0.619,0.2549,"{'no_trade': 77, 'long': 20, 'short': 7}",-0.037356,-0.5925,0.1818,0.5,4,-0.037356
2.5,1.5,15,104,0.4762,0.2151,"{'no_trade': 70, 'long': 25, 'short': 9}",-0.052085,-0.765,0.2057,0.2,5,-0.052085
2.5,1.5,20,104,0.4286,0.2418,"{'no_trade': 64, 'long': 30, 'short': 10}",-0.049431,-0.3769,0.4548,0.2857,7,-0.049431
2.5,2.0,5,104,0.8571,0.3077,"{'no_trade': 93, 'short': 6, 'long': 5}",0.0,0.0,0.0,0.0,0,0.0
2.5,2.0,10,104,0.619,0.2549,"{'no_trade': 75, 'long': 21, 'short': 8}",-0.052573,-0.6443,0.1363,0.5,4,-0.052573
2.5,2.0,15,104,0.4286,0.2,"{'no_trade': 67, 'long': 26, 'short': 11}",-0.067074,-0.4105,0.4062,0.3333,6,-0.067074
2.5,2.0,20,104,0.4286,0.2684,"{'no_trade': 60, 'long': 31, 'short': 13}",-0.103632,-0.4607,0.3778,0.3333,9,-0.103632
2.5,2.5,5,104,0.8571,0.3077,"{'no_trade': 93, 'short': 6, 'long': 5}",0.0,0.0,0.0,0.0,0,0.0
2.5,2.5,10,104,0.619,0.2549,"{'no_trade': 73, 'long': 23, 'short': 8}",-0.067791,-0.6766,0.1091,0.5,4,-0.067791
2.5,2.5,15,104,0.5238,0.3168,"{'no_trade': 64, 'long': 28, 'short': 12}",-0.010217,-0.0537,0.89,0.5,8,-0.010217
2.5,2.5,20,104,0.5714,0.38,"{'no_trade': 57, 'long': 33, 'short': 14}",-0.036958,-0.1307,0.7554,0.5,10,-0.036958
2.5,3.0,5,104,0.8571,0.3077,"{'no_trade': 93, 'short': 6, 'long': 5}",0.0,0.0,0.0,0.0,0,0.0
2.5,3.0,10,104,0.619,0.2549,"{'no_trade': 73, 'long': 23, 'short': 8}",-0.039477,-0.7007,0.1737,0.5,4,-0.039477
2.5,3.0,15,104,0.5238,0.3168,"{'no_trade': 64, 'long': 28, 'short': 12}",-0.017493,-0.0894,0.8253,0.5,8,-0.017493
2.5,3.0,20,104,0.5714,0.38,"{'no_trade': 57, 'long': 33, 'short': 14}",0.034757,0.1514,1.3969,0.6,10,0.034757
3.0,1.0,5,104,0.9524,0.4878,"{'no_trade': 100, 'long': 2, 'short': 2}",0.0,0.0,0.0,0.0,0,0.0
3.0,1.0,10,104,0.9048,0.475,"{'no_trade': 87, 'long': 12, 'short': 5}",0.0,0.0,0.0,0.0,0,0.0
3.0,1.0,15,104,0.8095,0.4474,"{'no_trade': 80, 'long': 17, 'short': 7}",-0.019102,0.0,0.0,0.0,1,-0.019102
3.0,1.0,20,104,0.8571,0.4615,"{'no_trade': 77, 'long': 20, 'short': 7}",0.0,0.0,0.0,0.0,0,0.0
3.0,1.5,5,104,0.9048,0.3167,"{'no_trade': 98, 'short': 4, 'long': 2}",0.0,0.0,0.0,0.0,0,0.0
3.0,1.5,10,104,0.8095,0.2982,"{'no_trade': 84, 'long': 13, 'short': 7}",0.0,0.0,0.0,0.0,0,0.0
3.0,1.5,15,104,0.7143,0.2778,"{'no_trade': 77, 'long': 18, 'short': 9}",-0.010416,0.0,0.0,0.0,1,-0.010416
3.0,1.5,20,104,0.619,0.3241,"{'no_trade': 70, 'long': 25, 'short': 9}",-0.032397,-0.4831,0.3582,0.25,4,-0.032397
3.0,2.0,5,104,0.9048,0.3167,"{'no_trade': 98, 'short': 4, 'long': 2}",0.0,0.0,0.0,0.0,0,0.0
3.0,2.0,10,104,0.8095,0.2982,"{'no_trade': 84, 'long': 13, 'short': 7}",0.0,0.0,0.0,0.0,0,0.0
3.0,2.0,15,104,0.619,0.2549,"{'no_trade': 75, 'long': 19, 'short': 10}",-0.067308,-2.0098,0.0,0.0,3,-0.067308
3.0,2.0,20,104,0.6667,0.346,"{'no_trade': 67, 'long': 26, 'short': 11}",-0.011019,-0.2386,0.6214,0.3333,3,-0.011019
3.0,2.5,5,104,0.9048,0.3167,"{'no_trade': 98, 'short': 4, 'long': 2}",0.0,0.0,0.0,0.0,0,0.0
3.0,2.5,10,104,0.8095,0.2982,"{'no_trade': 83, 'long': 14, 'short': 7}",0.0,0.0,0.0,0.0,0,0.0
3.0,2.5,15,104,0.7143,0.2778,"{'no_trade': 72, 'long': 21, 'short': 11}",-0.017359,0.0,0.0,0.0,1,-0.017359
3.0,2.5,20,104,0.8571,0.5677,"{'no_trade': 64, 'long': 28, 'short': 12}",0.102654,0.9927,6.9136,0.8,5,0.102654
3.0,3.0,5,104,0.9048,0.3167,"{'no_trade': 98, 'short': 4, 'long': 2}",0.0,0.0,0.0,0.0,0,0.0
3.0,3.0,10,104,0.8095,0.2982,"{'no_trade': 83, 'long': 14, 'short': 7}",0.0,0.0,0.0,0.0,0,0.0
3.0,3.0,15,104,0.7143,0.2778,"{'no_trade': 72, 'long': 21, 'short': 11}",-0.020831,0.0,0.0,0.0,1,-0.020831
3.0,3.0,20,104,0.8571,0.5677,"{'no_trade': 64, 'long': 28, 'short': 12}",0.099182,0.9033,5.7613,0.8,5,0.099182
