atr_ratio,rvol_20,ret_1,ret_5,ret_10,ret_20,sma_10_dist,sma_20_dist,sma_50_dist,sma_100_dist,sma_200_dist,ma_spread_10_50,ma_spread_20_200,ma_spread_50_200,rsi_14,macd_norm,macd_signal_norm,macd_hist_norm,bb_width,bb_pctb,mom_5,mom_10,mom_20,volume_ratio,volume_std,bb_touch_upper,bb_touch_lower,sma50_cross_above_sma200,sma50_cross_below_sma200,close_touch_sma50,close_touch_sma200,rsi_oversold,rsi_overbought,upper_slope,lower_slope,containment,upper_touches,lower_touches,total_touches,upper_mean_error,lower_mean_error,pattern_window,r_upper,r_lower,etype_multiple_bottom,etype_multiple_top,etype_near_resistance,etype_near_support
0.018919981914591835,0.20780696403327023,0.006555836597000653,-0.04333682430269581,-0.07665394361750155,-0.020196950556342075,-0.026663464091015675,-0.04439291172364405,-0.07030486998516203,-0.08791507250056765,0.0,-0.04483691332247206,0.0,0.0,12.413832599118933,-0.019668926188703806,-0.013697634898388164,-0.00597129129031564,0.12097074631337061,0.13302771061157453,-0.04333682430269581,-0.07665394361750155,-0.020196950556342075,0.9936685441031534,0.2319589108000231,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
0.015557965477420731,0.18411228794875797,-0.0010624359565157837,0.023211180305297452,0.03096999216571983,0.05309782291250942,0.011463490849506519,0.02607229007151971,0.039140945255380685,0.0032532428135935774,0.0,0.027363770077977273,0.0,0.0,73.97355993126487,0.010522635376259254,0.00676297162584961,0.003759663750409643,0.07148532517945742,0.8647222700053135,0.023211180305297452,0.03096999216571983,0.05309782291250942,0.6986814987857087,0.2297367915567093,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
0.014916911602607715,0.1859483821668977,0.0111232224154445,0.016502877382590375,0.054838008045268394,0.040716394431794534,0.029773294463570864,0.039689453859640636,0.03406592932078551,0.022923467353445876,0.0,0.004168524159922756,0.0,0.0,67.72131428852111,0.005262669696338912,-0.0004051038082593482,0.00566777350459826,0.08432763364846543,0.9706577445904992,0.016502877382590375,0.054838008045268394,0.040716394431794534,0.8916952009780381,0.26467313120265407,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
0.011664661581054635,0.07821341002002871,0.007930614020783322,0.006317651575249883,0.023473434858850117,0.02955887146724434,0.008151894591943083,0.014499806761499876,0.05062374490419179,0.07560341479795349,0.07008787008749788,0.042128423841765926,0.05479356718997018,0.018526256690572958,62.39942768417417,0.011346782002753117,0.012290972741425755,-0.0009441907386726376,0.03339852778150115,0.934145087363134,0.006317651575249883,0.023473434858850117,0.02955887146724434,0.897274687769648,0.24241906189543824,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
0.011611832751613958,0.09849473429236674,0.003762574990733736,0.035699306554023424,0.03692452821877401,0.053029185334820594,0.026413155041043627,0.03486086600785458,0.06981196179591134,0.10141195684580555,0.09748497291795702,0.042282005585881556,0.060514518392878455,0.025867173026921975,77.00688486001597,0.014311625080199534,0.012504351975492328,0.0018072731047072059,0.05270833037630438,1.1613919613649282,0.035699306554023424,0.03692452821877401,0.053029185334820594,0.9870096038799387,0.2411954070294979,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
0.013248492222241615,0.13509556869325348,-0.014476871072650277,0.002454376986433582,-0.025984898442350635,-0.00227432754403889,-0.01229117438921385,-0.013549744601709357,0.00863340736591089,0.0479048096876919,0.0517117959613189,0.02118496991477752,0.06615796407967695,0.04270965871327726,43.89236726539738,0.004927884903420219,0.008489620312517343,-0.0035617354090971246,0.052563942966727346,0.2422235883201102,0.002454376986433582,-0.025984898442350635,-0.00227432754403889,1.1660620445254541,0.1966462036160735,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
0.013987357312571301,0.173280825872243,0.012808862982572444,0.01963390054435754,0.03671105289398091,0.021758828313690914,0.022091363378758905,0.017711927445398196,0.03636052507157059,0.07647063023827537,0.08457629735549482,0.013960749698189091,0.06570068415915661,0.04652413047148286,52.92984377444523,0.004663410193458506,0.004759832911363875,-9.642271790536948e-05,0.051631250878698826,0.8430466460518293,0.01963390054435754,0.03671105289398091,0.021758828313690914,0.9967253749326073,0.24217901729084887,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
0.007572299054727906,0.12983011399175468,0.0063402836891353065,0.011064777677926907,0.02621049577221779,0.04875177296918909,0.0116907779868253,0.02768368412629903,0.04465965130678739,0.08812066767351376,0.10671055043056114,0.03258789546897641,0.0768980451134125,0.05939819638496896,89.13029939746889,0.012360490254851001,0.010870282813023876,0.001490207441827126,0.0798545880969961,0.8466761871299466,0.011064777677926907,0.02621049577221779,0.04875177296918909,0.606721078439202,0.30086699529911237,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
0.009509281429602919,0.10966115704613916,0.002828813002763386,0.026855460133123454,0.021655775526072008,0.02951525675311717,0.010797590310789104,0.01685956892209877,0.04232300955074452,0.08099651666662004,0.13904869705116868,0.03118865690040112,0.12016322790628209,0.09279818886672593,59.467774848079344,0.01012339629026143,0.009923514544465281,0.00019988174579614685,0.03830194807455507,0.9401752331051537,0.026855460133123454,0.021655775526072008,0.02951525675311717,0.9305293671834527,0.28442317894414815,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
0.013436643454676234,0.14119230630300408,0.008749741813260714,0.012601847625052676,0.005688821078489781,0.004621920690682346,0.004759134923410925,0.0003430757144140435,0.019830209749784423,0.059008430687602045,0.13248408741709988,0.014999689281274672,0.13209569287848055,0.11046336595084305,48.593846005330185,0.004615145564386748,0.006449613778195359,-0.0018344682138086113,0.03273142004828169,0.5104815407919356,0.012601847625052676,0.005688821078489781,0.004621920690682346,1.0135753739988067,0.3266993399256189,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
