Date,Close,High,Low,Open,Volume,resistance,support,near_resistance,near_support,intended_direction,triangle_pattern,triangle_breakout_direction,multiple_top_bottom_pattern,channel_pattern,has_event
2010-01-04,85.0279541015625,85.07296839235833,83.66246528116115,84.30769682834931,118944600,,,False,False,,,,,,False
2010-01-05,85.25305938720703,85.29057512463632,84.66785051753644,84.9754635369826,111579900,,,False,False,,,,,,False
2010-01-06,85.31306457519531,85.52313892337453,85.1029902270161,85.17051167146083,116074400,,,False,False,,,,,,False
2010-01-07,85.6731948852539,85.77823205783233,84.915421805284,85.15550758890559,131091100,,,False,False,,,,,,False
2010-01-08,85.95830535888672,85.99582109252837,85.27556365456766,85.44812229148573,126402800,,,False,False,,,,,,False
2010-01-11,86.07831573486328,86.37841858421547,85.71068001344548,86.3409085900939,106375700,,,False,False,,,,,,False
2010-01-12,85.27555084228516,85.68819522985875,84.94543075294914,85.50813232844658,163333500,,,False,False,,,,,,False
2010-01-13,85.9958267211914,86.23591254955926,85.05799055973927,85.49314218833884,161822000,,,False,False,,,,,,False
2010-01-14,86.22837829589844,86.38593402938507,85.84573967223338,85.89825825006226,115718800,,,False,False,,,,,,False
2010-01-15,85.26054382324219,86.16086407089153,84.93042372785904,86.07833977114228,212283100,,,False,False,,,,,,False
2010-01-19,86.32592010498047,86.37843868824996,85.22302413222486,85.24553700285145,139172700,,,False,False,,,,,,False
2010-01-20,85.44810485839844,85.8682535137993,84.76536329337203,85.74070920399491,216490200,,,False,False,,,,,,False
2010-01-21,83.80500793457031,85.73319818256456,83.69997077896718,85.47060529355672,344859600,,,False,False,,,,,,False
2010-01-22,81.93682098388672,83.83499934490251,81.84678670454696,83.42985367401504,345942400,,,False,False,,,,,,False
2010-01-25,82.35700988769531,82.83718722218961,82.08691836543186,82.6871300163798,186937500,,,False,False,,,,,,False
2010-01-26,82.01187133789062,82.88218579414519,81.80930130360848,82.03437848346685,211168800,,,False,False,,,,,,False
2010-01-27,82.40203857421875,82.58960580812669,81.27663517077113,81.90685832913489,271863600,,,False,False,,,,,,False
2010-01-28,81.45665740966797,82.71710882066088,80.96148313611442,82.67209453872734,316104000,,,False,False,,,,,,False
2010-01-29,80.57135772705078,82.3795080975408,80.443813417889,81.80930226515815,310677600,,,False,False,,,,,,False
2010-02-01,81.82429504394531,81.83179933300008,80.65387781159914,81.14155356644184,187865000,,,False,False,,,,,,False
2010-02-02,82.81468963623047,82.97224543834349,81.68928614333902,81.974392024961,216327900,,,False,False,,,,,,False
2010-02-03,82.40203857421875,82.88971452719893,82.1619527437805,82.4395485865417,172730700,,,False,False,,,,,,False
2010-02-04,79.85861206054688,81.80180548446383,79.8436034792112,81.76429547931787,356715700,,,False,False,,,,,,False
