feature,importance
volume_std,0.0947973770393585
ma_spread_50_200,0.07045866411885432
ret_1,0.04837896327688429
sma_10_dist,0.04812295025135734
rsi_14,0.04330713854999439
volume_ratio,0.03910678243479984
macd_hist,0.03090776809084547
ma_spread_20_200,0.028199810660023094
upper_mean_error,0.027573854556319145
bb_pctb,0.027475986586909106
ret_5,0.02708518869231358
obv_norm,0.026516520776105956
atr_ratio,0.025051359448214086
mom_5,0.023452389746670948
sma_50_dist,0.023370471425571054
atr_14,0.02170178810062644
bb_width,0.021524380407399284
sma_200_dist,0.020943533449033772
sma_20_dist,0.02062395453895868
event_atr,0.020584789465846357
