event_date,event_type,intended_direction,entry_price,atr,tp_price,sl_price,exit_date,exit_price,exit_reason,bars_held,label,return_pct,event_source
2012-10-17,multiple_bottom,long,115.9,1.0357,117.97,113.83,2012-10-19,113.83,stop_loss,2,no_trade,-1.7872,detector
2013-01-30,multiple_bottom,long,119.81,0.7567,121.32,118.3,2013-02-12,121.32,take_profit,9,long,1.2632,detector
2013-03-04,near_resistance,short,122.09,1.2757,119.53,124.64,2013-03-13,124.64,stop_loss,7,no_trade,-2.0898,detector
2013-03-13,multiple_bottom,long,124.47,1.1896,126.84,122.09,2013-03-27,125.25,time_exit,10,no_trade,0.6316,detector
2013-04-29,near_resistance,short,127.75,1.4337,124.88,130.61,2013-05-08,130.61,stop_loss,7,no_trade,-2.2446,detector
2013-05-07,multiple_bottom,long,130.39,1.1067,132.61,128.18,2013-05-15,132.61,take_profit,6,long,1.6974,detector
2013-07-05,multiple_bottom,long,131.42,1.8176,135.06,127.79,2013-07-11,135.06,take_profit,4,long,2.766,detector
2013-09-12,multiple_bottom,long,136.2,1.2409,138.68,133.72,2013-09-18,138.68,take_profit,4,long,1.8222,detector
2013-11-06,multiple_bottom,long,143.52,0.9553,145.43,141.61,2013-11-07,141.61,stop_loss,1,no_trade,-1.3312,detector
2013-12-09,near_resistance,short,146.95,1.0086,144.93,148.97,2013-12-11,144.93,take_profit,2,short,1.3727,detector
2013-12-18,multiple_bottom,long,147.19,1.2649,149.72,144.66,2013-12-26,149.72,take_profit,5,long,1.7187,detector
2014-04-25,multiple_bottom,long,152.4,1.5789,155.56,149.24,2014-05-09,153.77,time_exit,10,no_trade,0.8964,detector
2014-07-08,multiple_bottom,long,161.31,0.9831,163.28,159.34,2014-07-22,162.92,time_exit,10,no_trade,0.9987,detector
2014-07-16,near_resistance,short,162.72,1.0251,160.67,164.77,2014-07-17,160.67,take_profit,1,short,1.26,detector
2014-10-31,near_resistance,short,166.54,2.4663,161.61,171.47,2014-11-14,168.67,time_exit,10,no_trade,-1.2794,detector
2015-02-20,near_resistance,short,175.41,1.6703,172.07,178.75,2015-03-06,172.07,take_profit,10,short,1.9044,detector
2015-04-14,multiple_bottom,long,174.74,1.6551,178.05,171.43,2015-04-28,176.36,time_exit,10,no_trade,0.9308,detector
2015-05-14,near_resistance,short,177.01,1.8124,173.38,180.63,2015-05-29,176.11,time_exit,10,no_trade,0.5042,detector
2015-06-15,multiple_bottom,long,174.42,1.4805,177.38,171.46,2015-06-18,177.38,take_profit,3,long,1.6977,detector
2015-07-16,near_resistance,short,177.94,2.0475,173.85,182.04,2015-07-27,173.85,take_profit,7,short,2.3013,detector
2016-02-12,multiple_top,short,158.18,3.2733,151.63,164.72,2016-02-22,164.72,stop_loss,5,no_trade,-4.1388,detector
2016-06-07,multiple_bottom,long,180.33,1.4269,183.19,177.48,2016-06-14,177.48,stop_loss,5,no_trade,-1.5826,detector
2017-01-04,near_resistance,short,196.16,1.2697,193.62,198.7,2017-01-19,195.58,time_exit,10,no_trade,0.2957,detector
2017-02-03,near_resistance,short,198.55,1.2776,195.99,201.1,2017-02-13,201.1,stop_loss,6,no_trade,-1.2869,detector
2017-03-31,multiple_bottom,long,204.98,1.5382,208.05,201.9,2017-04-17,203.96,time_exit,10,no_trade,-0.4963,detector
2017-04-20,multiple_bottom,long,204.63,1.5105,207.65,201.61,2017-04-25,207.65,take_profit,3,long,1.4763,detector
2017-07-13,near_resistance,short,213.56,1.5315,210.5,216.62,2017-07-27,216.62,stop_loss,10,no_trade,-1.4343,detector
2017-07-28,multiple_bottom,long,215.74,1.0441,217.82,213.65,2017-08-10,213.65,stop_loss,9,no_trade,-0.968,detector
2017-08-07,near_resistance,short,216.58,0.8756,214.82,218.33,2017-08-10,214.82,take_profit,3,short,0.8086,detector
2017-10-30,multiple_bottom,long,225.45,0.9991,227.45,223.45,2017-11-07,227.45,take_profit,6,long,0.8864,detector
2017-11-21,multiple_bottom,long,228.29,1.3058,230.9,225.68,2017-11-29,230.9,take_profit,5,long,1.144,detector
2017-12-11,near_resistance,short,233.84,1.6125,230.62,237.07,2017-12-26,235.81,time_exit,10,no_trade,-0.8433,detector
2017-12-22,multiple_bottom,long,236.1,1.2922,238.68,233.51,2018-01-03,238.68,take_profit,6,long,1.0946,detector
2018-05-21,multiple_top,short,242.23,2.3191,237.6,246.87,2018-05-29,237.6,take_profit,5,short,1.9147,detector
2018-07-09,near_resistance,short,247.35,2.5139,242.33,252.38,2018-07-23,249.4,time_exit,10,no_trade,-0.8276,detector
2018-08-20,near_resistance,short,254.27,1.8565,250.56,257.98,2018-08-27,257.98,stop_loss,5,no_trade,-1.4602,detector
2018-09-19,near_resistance,short,259.21,1.5971,256.02,262.4,2018-10-03,260.83,time_exit,10,no_trade,-0.6252,detector
2018-09-25,multiple_bottom,long,259.96,1.5983,263.16,256.77,2018-10-05,256.77,stop_loss,8,no_trade,-1.2296,detector
2018-12-12,multiple_top,short,237.35,4.5836,228.18,246.52,2018-12-17,228.18,take_profit,3,short,3.8623,detector
2019-03-29,multiple_bottom,long,255.16,2.5401,260.24,250.08,2019-04-05,260.24,take_profit,5,long,1.9909,detector
2019-04-29,multiple_bottom,long,265.45,1.564,268.58,262.32,2019-05-02,262.32,stop_loss,3,no_trade,-1.1784,detector
2019-10-07,multiple_top,short,267.25,3.3797,260.49,274.01,2019-10-21,273.55,time_exit,10,no_trade,-2.3577,detector
2019-10-24,multiple_bottom,long,273.9,2.4191,278.74,269.06,2019-11-01,278.74,take_profit,6,long,1.7664,detector
2019-12-06,near_resistance,short,287.12,1.9918,283.14,291.11,2019-12-16,291.11,stop_loss,6,no_trade,-1.3874,detector
2019-12-12,multiple_bottom,long,289.18,2.0563,293.3,285.07,2019-12-20,293.3,take_profit,6,long,1.4221,detector
2020-01-03,multiple_bottom,long,295.44,1.7809,299.01,291.88,2020-01-09,299.01,take_profit,4,long,1.2056,detector
2020-01-22,multiple_bottom,long,303.63,2.1083,307.84,299.41,2020-01-27,299.41,stop_loss,3,no_trade,-1.3887,detector
2020-07-06,multiple_bottom,long,293.53,5.3786,304.28,282.77,2020-07-20,300.26,time_exit,10,no_trade,2.293,detector
2020-07-24,multiple_bottom,long,297.07,4.2984,305.67,288.48,2020-08-05,305.67,take_profit,8,long,2.8938,detector
2020-07-31,near_resistance,short,302.29,3.8289,294.64,309.95,2020-08-07,309.95,stop_loss,5,no_trade,-2.5332,detector
2020-08-21,multiple_bottom,long,314.29,2.7252,319.74,308.84,2020-08-26,319.74,take_profit,3,long,1.7342,detector
2020-09-16,multiple_bottom,long,313.68,6.279,326.24,301.12,2020-09-21,301.12,stop_loss,3,no_trade,-4.0034,detector
2020-10-07,multiple_bottom,long,316.74,6.0505,328.84,304.64,2020-10-12,328.84,take_profit,3,long,3.8205,detector
2020-11-16,near_resistance,short,337.01,6.9275,323.16,350.87,2020-12-01,340.22,time_exit,10,no_trade,-0.9515,detector
2020-12-03,multiple_bottom,long,340.84,3.6935,348.23,333.46,2020-12-17,346.0,time_exit,10,no_trade,1.5136,detector
2021-02-04,multiple_bottom,long,360.5,5.1795,370.86,350.14,2021-02-19,364.08,time_exit,10,no_trade,0.9943,detector
2021-03-26,near_resistance,short,370.85,4.8538,361.14,380.56,2021-04-05,380.56,stop_loss,5,no_trade,-2.6177,detector
2021-05-19,multiple_bottom,long,384.78,5.0733,394.93,374.64,2021-06-01,394.93,take_profit,8,long,2.637,detector
