version,label_distribution,f1_macro,cumulative_return,win_rate,scope
old_notebook_12_recorded,not persisted for pt=2.0/sl=3.0/mh=20,,0.2866,,validation grid selection; notebook cell 8
corrected,"{'no_trade': 64, 'long': 27, 'short': 13}",0.3434,-0.044683,0.625,"held-out test, best corrected-profit configuration"
