pt_mult,sl_mult,max_holding,n_events,accuracy,f1_macro,label_dist,score
2.5,1.0,5,104,0.9524,0.4878,"{'no_trade': 96, 'short': 4, 'long': 4}",0.4878
2.5,1.0,10,104,0.6667,0.4,"{'no_trade': 80, 'long': 19, 'short': 5}",0.4
2.5,1.0,15,104,0.6667,0.4,"{'no_trade': 74, 'long': 23, 'short': 7}",0.4
2.5,1.0,20,104,0.619,0.3824,"{'no_trade': 71, 'long': 25, 'short': 8}",0.3824
2.5,1.5,5,104,0.8571,0.3077,"{'no_trade': 93, 'short': 6, 'long': 5}",0.3077
2.5,1.5,10,104,0.619,0.2549,"{'no_trade': 77, 'long': 20, 'short': 7}",0.2549
2.5,1.5,15,104,0.4762,0.2151,"{'no_trade': 70, 'long': 25, 'short': 9}",0.2151
2.5,1.5,20,104,0.4286,0.2418,"{'no_trade': 64, 'long': 30, 'short': 10}",0.2418
2.5,2.0,5,104,0.8571,0.3077,"{'no_trade': 93, 'short': 6, 'long': 5}",0.3077
2.5,2.0,10,104,0.619,0.2549,"{'no_trade': 75, 'long': 21, 'short': 8}",0.2549
2.5,2.0,15,104,0.4286,0.2,"{'no_trade': 67, 'long': 26, 'short': 11}",0.2
2.5,2.0,20,104,0.4286,0.2684,"{'no_trade': 60, 'long': 31, 'short': 13}",0.2684
2.5,2.5,5,104,0.8571,0.3077,"{'no_trade': 93, 'short': 6, 'long': 5}",0.3077
2.5,2.5,10,104,0.619,0.2549,"{'no_trade': 73, 'long': 23, 'short': 8}",0.2549
2.5,2.5,15,104,0.5238,0.3168,"{'no_trade': 64, 'long': 28, 'short': 12}",0.3168
2.5,2.5,20,104,0.5714,0.38,"{'no_trade': 57, 'long': 33, 'short': 14}",0.38
2.5,3.0,5,104,0.8571,0.3077,"{'no_trade': 93, 'short': 6, 'long': 5}",0.3077
2.5,3.0,10,104,0.619,0.2549,"{'no_trade': 73, 'long': 23, 'short': 8}",0.2549
2.5,3.0,15,104,0.5238,0.3168,"{'no_trade': 64, 'long': 28, 'short': 12}",0.3168
2.5,3.0,20,104,0.5714,0.38,"{'no_trade': 57, 'long': 33, 'short': 14}",0.38
3.0,1.0,5,104,0.9524,0.4878,"{'no_trade': 100, 'long': 2, 'short': 2}",0.4878
3.0,1.0,10,104,0.9048,0.475,"{'no_trade': 87, 'long': 12, 'short': 5}",0.475
3.0,1.0,15,104,0.8095,0.4474,"{'no_trade': 80, 'long': 17, 'short': 7}",0.4474
3.0,1.0,20,104,0.8571,0.4615,"{'no_trade': 77, 'long': 20, 'short': 7}",0.4615
3.0,1.5,5,104,0.9048,0.3167,"{'no_trade': 98, 'short': 4, 'long': 2}",0.3167
3.0,1.5,10,104,0.8095,0.2982,"{'no_trade': 84, 'long': 13, 'short': 7}",0.2982
3.0,1.5,15,104,0.7143,0.2778,"{'no_trade': 77, 'long': 18, 'short': 9}",0.2778
3.0,1.5,20,104,0.619,0.3241,"{'no_trade': 70, 'long': 25, 'short': 9}",0.3241
3.0,2.0,5,104,0.9048,0.3167,"{'no_trade': 98, 'short': 4, 'long': 2}",0.3167
3.0,2.0,10,104,0.8095,0.2982,"{'no_trade': 84, 'long': 13, 'short': 7}",0.2982
3.0,2.0,15,104,0.619,0.2549,"{'no_trade': 75, 'long': 19, 'short': 10}",0.2549
3.0,2.0,20,104,0.6667,0.346,"{'no_trade': 67, 'long': 26, 'short': 11}",0.346
3.0,2.5,5,104,0.9048,0.3167,"{'no_trade': 98, 'short': 4, 'long': 2}",0.3167
3.0,2.5,10,104,0.8095,0.2982,"{'no_trade': 83, 'long': 14, 'short': 7}",0.2982
3.0,2.5,15,104,0.7143,0.2778,"{'no_trade': 72, 'long': 21, 'short': 11}",0.2778
3.0,2.5,20,104,0.8571,0.5677,"{'no_trade': 64, 'long': 28, 'short': 12}",0.5677
3.0,3.0,5,104,0.9048,0.3167,"{'no_trade': 98, 'short': 4, 'long': 2}",0.3167
3.0,3.0,10,104,0.8095,0.2982,"{'no_trade': 83, 'long': 14, 'short': 7}",0.2982
3.0,3.0,15,104,0.7143,0.2778,"{'no_trade': 72, 'long': 21, 'short': 11}",0.2778
3.0,3.0,20,104,0.8571,0.5677,"{'no_trade': 64, 'long': 28, 'short': 12}",0.5677
